opdb_id_,first_five,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,year_,type,display,player_count,features,keywords,manufacturer_name,manufacturer_full_name,title,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height,opdb_id,group_name
GrEXx-MDlq0,GrEXx,True,Lawman,,,1,1419,1971-10-01,1971,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/5848cfd2-9191-4583-ae7e-05a6a53fc4c3-medium.jpg,https://img.opdb.org/5848cfd2-9191-4583-ae7e-05a6a53fc4c3-large.jpg,https://img.opdb.org/5848cfd2-9191-4583-ae7e-05a6a53fc4c3-small.jpg,529,440,529,440,250,208,GrEXx,Sheriff / Lawman
GrNWn-MQdqZ,GrNWn,True,Creature from the Black Lagoon,,CFTBL,1,588,1992-12-01,1992,ss,dmd,4,,monster movie ,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/abb602b3-3e87-481b-b716-5c24cc032d1d-medium.jpg,https://img.opdb.org/abb602b3-3e87-481b-b716-5c24cc032d1d-large.jpg,https://img.opdb.org/abb602b3-3e87-481b-b716-5c24cc032d1d-small.jpg,640,416,900,585,250,163,GrNWn,Creature from the Black Lagoon
GRwO9-MLObY,GRwO9,True,Little Joe,,,1,1460,1972-08-01,1972,em,reels,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/419fb95d-47a2-4940-979f-a3446830cac2-medium.jpg,https://img.opdb.org/419fb95d-47a2-4940-979f-a3446830cac2-large.jpg,https://img.opdb.org/419fb95d-47a2-4940-979f-a3446830cac2-small.jpg,640,480,800,600,250,188,GRwO9,Little Joe
G5DEb-MLeX6,G5DEb,True,Hi-Diver,,,1,1165,1959-04-01,1959,em,lights,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/946ea233-bc72-4bd6-b2f3-101040a15349-medium.jpg,https://img.opdb.org/946ea233-bc72-4bd6-b2f3-101040a15349-large.jpg,https://img.opdb.org/946ea233-bc72-4bd6-b2f3-101040a15349-small.jpg,554,600,554,600,231,250,G5DEb,Hi-Diver
Grj9q-MQ2EZ,Grj9q,True,Deadly Weapon,,DW,1,645,1990-01-09,1990,ss,alphanumeric,4,,street-level ,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/9c8828fe-1ba4-40fc-abea-0c4d96b06d78-medium.jpg,https://img.opdb.org/9c8828fe-1ba4-40fc-abea-0c4d96b06d78-large.jpg,https://img.opdb.org/9c8828fe-1ba4-40fc-abea-0c4d96b06d78-small.jpg,576,432,576,432,250,188,Grj9q,Deadly Weapon
GrEQy-MQYkj,GrEQy,True,Cross Town,,,1,601,1966-09-01,1966,em,reels,1,Replay ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/1ffad60a-b20a-4574-9ac2-ab4bdc8c27a4-medium.jpg,https://img.opdb.org/1ffad60a-b20a-4574-9ac2-ab4bdc8c27a4-large.jpg,https://img.opdb.org/1ffad60a-b20a-4574-9ac2-ab4bdc8c27a4-small.jpg,594,600,594,600,247,250,GrEQy,Subway / Cross Town
GRV7Q-MJNez,GRV7Q,True,North Star,,,1,1683,1964-09-01,1964,em,reels,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/02c18de1-7d3e-4c19-96b6-31b6a0e36837-medium.jpg,https://img.opdb.org/02c18de1-7d3e-4c19-96b6-31b6a0e36837-large.jpg,https://img.opdb.org/02c18de1-7d3e-4c19-96b6-31b6a0e36837-small.jpg,640,602,745,701,250,235,GRV7Q,North Star
Grkjn-MLnqy,Grkjn,True,Slugfest,,,1,2209,1952-03-01,1952,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/5d91fb0f-8a38-4cd6-9b01-4b40fef36425-medium.jpg,https://img.opdb.org/5d91fb0f-8a38-4cd6-9b01-4b40fef36425-large.jpg,https://img.opdb.org/5d91fb0f-8a38-4cd6-9b01-4b40fef36425-small.jpg,640,607,725,688,250,237,Grkjn,Slugfest
GRYX4-MLqqx,GRYX4,True,Whoa Nellie! Big Juicy Melons,,WNBJM,1,6252,2015-04-01,2015,ss,reels,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/99e5f6ef-94be-4d03-b92e-238c45014bc6-medium.jpg,https://img.opdb.org/99e5f6ef-94be-4d03-b92e-238c45014bc6-large.jpg,https://img.opdb.org/99e5f6ef-94be-4d03-b92e-238c45014bc6-small.jpg,633,600,633,600,250,237,GRYX4,Whoa Nellie / PBR
G41Lo-MJp3y,G41Lo,True,Fire!,,F!,1,859,1987-01-08,1987,ss,alphanumeric,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/14892d3c-93bc-4a17-97fa-279441fab8ef-medium.jpg,https://img.opdb.org/14892d3c-93bc-4a17-97fa-279441fab8ef-large.jpg,https://img.opdb.org/14892d3c-93bc-4a17-97fa-279441fab8ef-small.jpg,640,428,897,600,250,167,G41Lo,Fire!
GrEZ5-MDxPP,GrEZ5,True,El Dorado,,,1,766,1975-03-01,1975,em,reels,1,Replay ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/2456bb4e-cd88-44c2-962b-44f61197a064-medium.jpg,https://img.opdb.org/2456bb4e-cd88-44c2-962b-44f61197a064-large.jpg,https://img.opdb.org/2456bb4e-cd88-44c2-962b-44f61197a064-small.jpg,512,600,512,600,213,250,GrEZ5,El Dorado
GRwNV-MQP2V,GRwNV,True,Golden Gloves,,,1,1050,1960-01-01,1960,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/da95ac51-78b7-494a-a69c-442166470be7-medium.jpg,https://img.opdb.org/da95ac51-78b7-494a-a69c-442166470be7-large.jpg,https://img.opdb.org/da95ac51-78b7-494a-a69c-442166470be7-small.jpg,578,640,633,701,226,250,GRwNV,Golden Gloves
GrknN-MJ9Kl,GrknN,True,Pyramid,,,1,1881,1978-02-01,1978,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/f2ccba69-6820-49b1-81a8-fde7cd4b8ab3-medium.jpg,https://img.opdb.org/f2ccba69-6820-49b1-81a8-fde7cd4b8ab3-large.jpg,https://img.opdb.org/f2ccba69-6820-49b1-81a8-fde7cd4b8ab3-small.jpg,400,300,400,300,250,188,GrknN,Cleopatra
GRvNk-MQkro,GRvNk,True,Hot Hand,,,1,1244,1979-06-01,1979,ss,alphanumeric,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/09b1cf96-fb49-4a84-8928-4bce97443bcd-medium.jpg,https://img.opdb.org/09b1cf96-fb49-4a84-8928-4bce97443bcd-large.jpg,https://img.opdb.org/09b1cf96-fb49-4a84-8928-4bce97443bcd-small.jpg,640,586,655,600,250,229,GRvNk,Hot Hand
Gr87E-MLWBP,Gr87E,True,OXO,,,1,1733,1973-10-01,1973,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e541036c-c301-46cb-b653-255e2d063b07-medium.jpg,https://img.opdb.org/e541036c-c301-46cb-b653-255e2d063b07-large.jpg,https://img.opdb.org/e541036c-c301-46cb-b653-255e2d063b07-small.jpg,562,608,562,608,231,250,Gr87E,OXO
G57lj-MJwxY,G57lj,True,Stingray,,,1,2377,1977-01-01,1977,ss,alphanumeric,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/851ed502-1199-4a6a-93bc-4736444e28ff-medium.jpg,https://img.opdb.org/851ed502-1199-4a6a-93bc-4736444e28ff-large.jpg,https://img.opdb.org/851ed502-1199-4a6a-93bc-4736444e28ff-small.jpg,640,531,723,600,250,207,G57lj,Stingray
